id_detalle,id_orden,id_producto,cantidad,precio_unitario,descuento,subtotal
65,1740,1,3,831633.0,0.0,2494899
66,1740,62,3,4981306.0,0.05,14196722
67,1740,28,2,2967557.0,0.1,5341603
68,1740,77,3,2907626.0,0.0,8722878
69,3809,50,3,2593579.0,0.1,7002663
70,3809,10,4,2025142.0,0.0,8100568
71,3809,62,4,4981306.0,0.0,19925224
72,1231,73,2,4256133.0,0.15,7235426
73,1231,49,3,1993884.0,0.0,5981652
74,1231,48,1,4703211.0,0.0,4703211
75,1231,60,2,2588013.0,0.15,4399622
76,3344,18,3,1341237.0,0.0,4023711
77,3344,78,4,1867691.0,0.0,7470764
78,3344,30,2,1854576.0,0.05,3523694
79,3344,10,1,2025142.0,0.0,2025142
80,1453,11,2,333812.0,0.2,534099
81,1453,9,2,2794929.0,0.05,5310365
82,1453,20,4,2061075.0,0.0,8244300
83,1453,60,1,2588013.0,0.1,2329212
84,1453,43,3,1109003.0,0.15,2827958
85,1453,25,3,2659364.0,0.0,7978092
86,1453,24,1,3406720.0,0.0,3406720
87,1453,2,1,2675106.0,0.05,2541351
88,2719,53,2,3678728.0,0.1,6621710
89,2719,12,2,1277038.0,0.0,2554076
90,2719,5,2,1354368.0,0.0,2708736
91,2719,54,2,1053267.0,0.15,1790554
92,2719,65,1,4414355.0,0.0,4414355
93,2719,16,2,748954.0,0.05,1423013
94,167,6,2,1228186.0,0.1,2210735
95,167,42,3,1636535.0,0.1,4418644
96,167,44,3,3558636.0,0.0,10675908
97,273,61,4,1311538.0,0.1,4721537
98,2491,17,1,4988725.0,0.0,4988725
99,2491,57,2,1150465.0,0.0,2300930
100,2491,34,2,4917281.0,0.15,8359378
101,2491,29,4,413458.0,0.0,1653832
102,2491,35,4,2000134.0,0.0,8000536
103,2491,69,3,4234839.0,0.0,12704517
104,2491,27,4,2768937.0,0.0,11075748
105,2491,19,2,4883309.0,0.0,9766618
106,3765,54,2,1053267.0,0.0,2106534
107,3765,67,4,1401568.0,0.15,4765331
108,3765,80,1,4868583.0,0.0,4868583
109,3765,29,4,413458.0,0.1,1488449
110,3765,51,1,4190173.0,0.0,4190173
111,722,12,1,1277038.0,0.0,1277038
112,722,23,1,3175413.0,0.0,3175413
113,722,75,3,3928850.0,0.0,11786550
114,722,42,1,1636535.0,0.0,1636535
115,4078,72,2,4439973.0,0.05,8435949
116,4078,9,4,2794929.0,0.2,8943773
117,4078,8,4,1101633.0,0.0,4406532
118,4078,48,2,4703211.0,0.1,8465780
119,4078,46,1,1749843.0,0.1,1574859
120,4078,55,1,2711825.0,0.0,2711825
121,4078,17,3,4988725.0,0.0,14966175
122,4078,14,3,3484558.0,0.05,9930990
123,4322,2,3,2675106.0,0.0,8025318
124,2487,62,4,4981306.0,0.0,19925224
125,2487,8,4,1101633.0,0.0,4406532
126,2487,10,2,2025142.0,0.0,4050284
127,2487,71,2,2028496.0,0.05,3854142
128,2487,46,1,1749843.0,0.0,1749843
129,3442,47,4,489921.0,0.0,1959684
130,3442,79,3,4701266.0,0.0,14103798
131,1531,42,3,1636535.0,0.0,4909605
132,1531,36,2,4083995.0,0.0,8167990
133,1531,23,4,3175413.0,0.0,12701652
134,1531,46,3,1749843.0,0.0,5249529
135,1531,55,1,2711825.0,0.15,2305051
136,1531,37,1,3993742.0,0.0,3993742
137,1531,43,4,1109003.0,0.0,4436012
138,1531,64,2,2795884.0,0.0,5591768
139,1415,18,1,1341237.0,0.0,1341237
140,1415,46,1,1749843.0,0.0,1749843
141,1415,75,1,3928850.0,0.1,3535965
142,1415,53,4,3678728.0,0.0,14714912
143,1415,28,1,2967557.0,0.05,2819179
144,1415,65,1,4414355.0,0.0,4414355
145,2785,74,2,4678819.0,0.0,9357638
146,2785,38,3,762081.0,0.0,2286243
147,2785,4,4,3465256.0,0.1,12474922
148,2785,70,4,4283058.0,0.05,16275620
149,3345,64,1,2795884.0,0.0,2795884
150,3345,66,1,951648.0,0.0,951648
151,3345,60,1,2588013.0,0.0,2588013
152,3345,7,2,849772.0,0.0,1699544
153,3345,65,4,4414355.0,0.05,16774549
154,3345,4,4,3465256.0,0.1,12474922
155,4359,15,2,3564230.0,0.0,7128460
156,3613,4,3,3465256.0,0.0,10395768
157,3613,8,4,1101633.0,0.1,3965879
158,3613,66,3,951648.0,0.0,2854944
159,3613,27,1,2768937.0,0.0,2768937
160,3613,44,1,3558636.0,0.05,3380704
161,2550,23,3,3175413.0,0.0,9526239
162,2550,69,2,4234839.0,0.0,8469678
163,2550,76,2,3348251.0,0.1,6026852
164,2550,68,3,3504786.0,0.0,10514358
165,2550,71,2,2028496.0,0.0,4056992
166,4456,35,2,2000134.0,0.0,4000268
167,4456,79,3,4701266.0,0.0,14103798
168,4456,49,1,1993884.0,0.0,1993884
169,4456,13,3,1241912.0,0.0,3725736
170,4456,47,1,489921.0,0.2,391937
171,4405,8,2,1101633.0,0.0,2203266
172,4405,26,4,2244438.0,0.0,8977752
173,4405,52,1,3381694.0,0.0,3381694
174,4405,9,4,2794929.0,0.1,10061744
175,4405,42,1,1636535.0,0.0,1636535
176,4405,17,1,4988725.0,0.1,4489852
177,2596,9,1,2794929.0,0.0,2794929
178,3223,59,2,4911020.0,0.1,8839836
179,3223,70,1,4283058.0,0.0,4283058
180,1636,3,2,2429302.0,0.05,4615674
181,1636,65,4,4414355.0,0.15,15008807
182,1636,33,2,2356800.0,0.1,4242240
183,1636,7,4,849772.0,0.05,3229134
184,1636,61,1,1311538.0,0.0,1311538
185,1771,76,4,3348251.0,0.0,13393004
186,1771,12,4,1277038.0,0.0,5108152
187,1771,7,3,849772.0,0.0,2549316
188,1771,26,1,2244438.0,0.0,2244438
189,456,45,4,4049410.0,0.1,14577876
190,456,74,3,4678819.0,0.15,11930988
191,456,37,2,3993742.0,0.0,7987484
192,456,55,4,2711825.0,0.0,10847300
193,456,31,1,1218378.0,0.0,1218378
194,456,78,2,1867691.0,0.0,3735382
195,456,65,1,4414355.0,0.15,3752202
196,456,64,2,2795884.0,0.0,5591768
197,4476,49,2,1993884.0,0.0,3987768
198,3054,24,3,3406720.0,0.05,9709152
199,3054,3,1,2429302.0,0.0,2429302
200,3995,42,4,1636535.0,0.0,6546140
201,3995,68,1,3504786.0,0.0,3504786
202,3995,77,3,2907626.0,0.0,8722878
203,3995,47,2,489921.0,0.0,979842
204,3995,13,3,1241912.0,0.0,3725736
205,2212,77,4,2907626.0,0.0,11630504
206,2212,38,4,762081.0,0.1,2743492
207,2212,27,4,2768937.0,0.0,11075748
208,2212,45,2,4049410.0,0.0,8098820
209,2212,64,2,2795884.0,0.1,5032591
210,2212,42,3,1636535.0,0.15,4173164
211,2212,16,2,748954.0,0.15,1273222
212,2212,39,3,2545912.0,0.0,7637736
213,1751,23,1,3175413.0,0.0,3175413
214,1751,80,2,4868583.0,0.0,9737166
215,1751,20,3,2061075.0,0.0,6183225
216,3668,54,1,1053267.0,0.0,1053267
217,4626,73,1,4256133.0,0.0,4256133
218,4626,23,1,3175413.0,0.0,3175413
219,4626,77,3,2907626.0,0.05,8286734
220,4626,59,1,4911020.0,0.1,4419918
221,4626,27,3,2768937.0,0.0,8306811
222,4626,63,4,4827443.0,0.0,19309772
223,4626,40,1,3482106.0,0.0,3482106
224,3979,15,1,3564230.0,0.0,3564230
225,3979,23,3,3175413.0,0.05,9049927
226,3979,59,3,4911020.0,0.1,13259754
227,3979,47,3,489921.0,0.0,1469763
228,3733,54,3,1053267.0,0.0,3159801
229,3733,57,3,1150465.0,0.0,3451395
230,3180,34,4,4917281.0,0.0,19669124
231,3180,35,2,2000134.0,0.05,3800255
232,3180,10,3,2025142.0,0.0,6075426
233,2216,11,2,333812.0,0.0,667624
234,2216,65,1,4414355.0,0.0,4414355
235,2216,80,2,4868583.0,0.0,9737166
236,2216,74,4,4678819.0,0.0,18715276
237,2216,47,4,489921.0,0.15,1665731
238,2216,43,2,1109003.0,0.15,1885305
239,2216,46,4,1749843.0,0.0,6999372
240,692,20,1,2061075.0,0.0,2061075
241,692,62,4,4981306.0,0.0,19925224
242,692,80,2,4868583.0,0.0,9737166
243,1705,58,1,883025.0,0.1,794722
244,1705,29,1,413458.0,0.0,413458
245,1705,38,1,762081.0,0.05,723977
246,1705,55,3,2711825.0,0.0,8135475
247,4640,64,4,2795884.0,0.0,11183536
248,4640,1,1,831633.0,0.0,831633
249,4640,55,4,2711825.0,0.0,10847300
250,4640,60,2,2588013.0,0.0,5176026
251,4640,40,2,3482106.0,0.0,6964212
252,4640,69,1,4234839.0,0.0,4234839
253,4640,35,2,2000134.0,0.0,4000268
254,1752,70,3,4283058.0,0.0,12849174
255,1752,71,4,2028496.0,0.0,8113984
256,1752,42,4,1636535.0,0.0,6546140
257,1752,36,3,4083995.0,0.05,11639386
258,1752,5,3,1354368.0,0.0,4063104
259,1752,74,3,4678819.0,0.05,13334634
260,1752,54,4,1053267.0,0.0,4213068
261,1752,62,4,4981306.0,0.0,19925224
262,3958,19,2,4883309.0,0.05,9278287
263,3958,38,2,762081.0,0.1,1371746
264,3958,75,1,3928850.0,0.0,3928850
265,3958,28,3,2967557.0,0.15,7567270
266,3958,70,2,4283058.0,0.2,6852893
267,3958,61,4,1311538.0,0.0,5246152
268,3958,78,1,1867691.0,0.0,1867691
269,3565,43,2,1109003.0,0.0,2218006
270,3565,68,1,3504786.0,0.0,3504786
271,3565,34,4,4917281.0,0.0,19669124
272,3565,38,4,762081.0,0.0,3048324
273,3565,57,3,1150465.0,0.0,3451395
274,346,18,1,1341237.0,0.0,1341237
275,346,12,3,1277038.0,0.15,3256447
276,346,67,2,1401568.0,0.0,2803136
277,346,46,4,1749843.0,0.0,6999372
278,346,77,2,2907626.0,0.1,5233727
279,346,55,3,2711825.0,0.2,6508380
280,1363,17,4,4988725.0,0.0,19954900
281,1363,49,1,1993884.0,0.15,1694801
282,1363,61,2,1311538.0,0.0,2623076
283,1363,62,3,4981306.0,0.0,14943918
284,1363,33,3,2356800.0,0.0,7070400
285,1363,16,1,748954.0,0.0,748954
286,1363,43,3,1109003.0,0.0,3327009
287,2391,19,4,4883309.0,0.0,19533236
288,2391,48,3,4703211.0,0.0,14109633
289,4904,68,2,3504786.0,0.0,7009572
290,4904,21,2,174923.0,0.05,332354
291,4904,55,3,2711825.0,0.1,7321928
292,4904,34,4,4917281.0,0.0,19669124
293,4904,61,4,1311538.0,0.0,5246152
294,4904,51,4,4190173.0,0.0,16760692
295,4904,57,4,1150465.0,0.0,4601860
296,4904,38,2,762081.0,0.0,1524162
297,3126,36,3,4083995.0,0.15,10414187
298,4278,55,4,2711825.0,0.1,9762570
299,4278,16,3,748954.0,0.0,2246862
300,4278,50,3,2593579.0,0.2,6224590
301,4278,2,4,2675106.0,0.1,9630382
302,4278,34,3,4917281.0,0.0,14751843
303,1942,56,4,3481964.0,0.0,13927856
304,1942,15,1,3564230.0,0.0,3564230
305,1942,57,1,1150465.0,0.05,1092942
306,1942,35,1,2000134.0,0.0,2000134
307,1942,29,2,413458.0,0.1,744224
308,1942,24,3,3406720.0,0.15,8687136
309,4951,27,2,2768937.0,0.0,5537874
310,4951,47,2,489921.0,0.05,930850
311,4951,16,4,748954.0,0.0,2995816
312,4951,68,4,3504786.0,0.0,14019144
313,4951,7,1,849772.0,0.0,849772
314,4012,2,3,2675106.0,0.0,8025318
315,4012,62,1,4981306.0,0.15,4234110
316,2367,21,2,174923.0,0.1,314861
317,2367,57,2,1150465.0,0.0,2300930
318,2367,28,2,2967557.0,0.05,5638358
319,2367,79,3,4701266.0,0.05,13398608
320,2367,1,2,831633.0,0.0,1663266
321,596,34,3,4917281.0,0.0,14751843
322,596,80,4,4868583.0,0.05,18500615
323,596,70,1,4283058.0,0.0,4283058
324,596,23,4,3175413.0,0.0,12701652
325,596,52,3,3381694.0,0.0,10145082
326,596,49,2,1993884.0,0.0,3987768
327,596,37,1,3993742.0,0.0,3993742
328,596,63,1,4827443.0,0.0,4827443
329,3203,61,1,1311538.0,0.05,1245961
330,3203,47,1,489921.0,0.15,416433
331,3203,80,4,4868583.0,0.0,19474332
332,3203,66,3,951648.0,0.0,2854944
333,1839,23,1,3175413.0,0.0,3175413
334,1839,74,2,4678819.0,0.0,9357638
335,1839,36,2,4083995.0,0.0,8167990
336,2111,14,2,3484558.0,0.0,6969116
337,2111,66,2,951648.0,0.1,1712966
338,2111,68,4,3504786.0,0.05,13318187
339,2111,47,2,489921.0,0.0,979842
340,2111,41,3,4293210.0,0.15,10947686
341,2111,46,4,1749843.0,0.0,6999372
342,2111,76,2,3348251.0,0.0,6696502
343,3353,77,1,2907626.0,0.0,2907626
344,3353,61,4,1311538.0,0.0,5246152
345,3353,20,2,2061075.0,0.0,4122150
346,3353,51,4,4190173.0,0.15,14246588
347,3353,29,3,413458.0,0.0,1240374
348,3353,55,4,2711825.0,0.0,10847300
349,3353,39,1,2545912.0,0.0,2545912
350,1355,44,2,3558636.0,0.0,7117272
351,1355,25,4,2659364.0,0.1,9573710
352,4232,65,3,4414355.0,0.0,13243065
353,4582,60,1,2588013.0,0.0,2588013
354,1046,42,2,1636535.0,0.1,2945763
355,3983,59,4,4911020.0,0.0,19644080
356,1594,69,4,4234839.0,0.15,14398453
357,1594,46,2,1749843.0,0.05,3324702
358,1594,71,2,2028496.0,0.0,4056992
359,676,9,1,2794929.0,0.1,2515436
360,676,37,1,3993742.0,0.15,3394681
361,3849,67,1,1401568.0,0.0,1401568
362,3849,21,3,174923.0,0.15,446054
363,3849,37,3,3993742.0,0.05,11382165
364,3849,38,1,762081.0,0.15,647769
365,3849,26,1,2244438.0,0.0,2244438
366,3849,46,1,1749843.0,0.0,1749843
367,1353,50,4,2593579.0,0.0,10374316
368,1353,74,2,4678819.0,0.15,7953992
369,3815,40,4,3482106.0,0.15,11839160
370,3815,9,2,2794929.0,0.05,5310365
371,3815,17,3,4988725.0,0.1,13469558
372,3815,39,3,2545912.0,0.0,7637736
373,3815,18,1,1341237.0,0.05,1274175
374,4080,4,3,3465256.0,0.15,8836403
375,4080,12,1,1277038.0,0.1,1149334
376,4080,1,2,831633.0,0.0,1663266
377,4080,17,3,4988725.0,0.0,14966175
378,4080,55,3,2711825.0,0.0,8135475
379,4080,61,3,1311538.0,0.0,3934614
380,4080,60,1,2588013.0,0.0,2588013
381,1855,23,2,3175413.0,0.05,6033285
382,1440,39,1,2545912.0,0.0,2545912
383,1129,69,1,4234839.0,0.2,3387871
384,1129,42,3,1636535.0,0.0,4909605
385,3532,4,4,3465256.0,0.0,13861024
386,3532,2,1,2675106.0,0.0,2675106
387,3532,10,1,2025142.0,0.0,2025142
388,3532,41,1,4293210.0,0.0,4293210
389,3532,49,4,1993884.0,0.0,7975536
390,3532,40,3,3482106.0,0.15,8879370
391,3532,56,3,3481964.0,0.0,10445892
392,3532,11,3,333812.0,0.15,851221
393,4547,70,4,4283058.0,0.0,17132232
394,4547,14,1,3484558.0,0.15,2961874
395,4547,47,2,489921.0,0.0,979842
396,4547,60,4,2588013.0,0.0,10352052
397,4547,43,4,1109003.0,0.0,4436012
398,4547,58,1,883025.0,0.0,883025
399,4547,77,3,2907626.0,0.0,8722878
400,830,45,1,4049410.0,0.15,3441998
401,830,65,2,4414355.0,0.15,7504404
402,830,22,2,1731906.0,0.0,3463812
403,1811,2,2,2675106.0,0.0,5350212
404,1811,78,3,1867691.0,0.05,5322919
405,1811,66,3,951648.0,0.15,2426702
406,1811,55,2,2711825.0,0.15,4610102
407,207,59,3,4911020.0,0.0,14733060
408,207,75,1,3928850.0,0.15,3339522
409,207,1,3,831633.0,0.0,2494899
410,207,80,1,4868583.0,0.0,4868583
411,207,45,4,4049410.0,0.1,14577876
412,207,16,2,748954.0,0.05,1423013
413,207,20,4,2061075.0,0.0,8244300
414,3951,17,4,4988725.0,0.0,19954900
415,3951,51,2,4190173.0,0.0,8380346
416,3951,53,4,3678728.0,0.0,14714912
417,3951,9,4,2794929.0,0.0,11179716
418,3951,37,2,3993742.0,0.1,7188736
419,3951,36,3,4083995.0,0.15,10414187
420,3951,61,4,1311538.0,0.05,4983844
421,3409,3,1,2429302.0,0.0,2429302
422,2452,66,1,951648.0,0.05,904066
423,2452,10,2,2025142.0,0.05,3847770
424,2452,62,1,4981306.0,0.0,4981306
425,2452,47,3,489921.0,0.0,1469763
426,2452,14,4,3484558.0,0.0,13938232
427,2452,77,1,2907626.0,0.15,2471482
428,1682,12,1,1277038.0,0.0,1277038
429,1682,36,3,4083995.0,0.0,12251985
430,1682,73,3,4256133.0,0.0,12768399
431,1682,30,2,1854576.0,0.05,3523694
432,1682,25,1,2659364.0,0.0,2659364
433,1682,19,3,4883309.0,0.15,12452438
434,1682,26,3,2244438.0,0.0,6733314
435,4097,78,1,1867691.0,0.05,1774306
436,4097,9,1,2794929.0,0.05,2655183
437,4097,18,2,1341237.0,0.1,2414227
438,4097,61,2,1311538.0,0.0,2623076
439,3554,31,1,1218378.0,0.0,1218378
440,3554,47,4,489921.0,0.05,1861700
441,3554,23,2,3175413.0,0.05,6033285
442,3554,8,3,1101633.0,0.0,3304899
443,3554,78,4,1867691.0,0.0,7470764
444,3554,32,3,4017667.0,0.05,11450351
445,4203,72,2,4439973.0,0.0,8879946
446,4203,22,2,1731906.0,0.2,2771050
447,4203,59,3,4911020.0,0.0,14733060
448,4203,63,2,4827443.0,0.0,9654886
449,4203,49,1,1993884.0,0.0,1993884
450,4203,19,2,4883309.0,0.1,8789956
451,4203,31,1,1218378.0,0.05,1157459
452,4203,2,3,2675106.0,0.0,8025318
453,2405,64,1,2795884.0,0.0,2795884
454,2405,51,2,4190173.0,0.0,8380346
455,2405,71,2,2028496.0,0.05,3854142
456,2405,72,4,4439973.0,0.0,17759892
457,3604,47,1,489921.0,0.2,391937
458,3604,32,2,4017667.0,0.0,8035334
459,4224,24,3,3406720.0,0.0,10220160
460,695,13,3,1241912.0,0.0,3725736
461,695,47,4,489921.0,0.15,1665731
462,695,26,3,2244438.0,0.0,6733314
463,695,21,3,174923.0,0.0,524769
464,695,43,3,1109003.0,0.0,3327009
465,2065,13,2,1241912.0,0.0,2483824
466,1066,59,1,4911020.0,0.0,4911020
467,1066,15,1,3564230.0,0.0,3564230
468,3519,14,1,3484558.0,0.0,3484558
469,3519,12,1,1277038.0,0.0,1277038
470,3519,35,1,2000134.0,0.0,2000134
471,3519,74,2,4678819.0,0.0,9357638
472,3519,4,1,3465256.0,0.0,3465256
473,4120,32,3,4017667.0,0.05,11450351
474,4120,31,2,1218378.0,0.0,2436756
475,4815,22,2,1731906.0,0.0,3463812
476,4815,57,1,1150465.0,0.0,1150465
477,4815,2,3,2675106.0,0.15,6821520
478,4815,18,4,1341237.0,0.0,5364948
479,4815,4,4,3465256.0,0.15,11781870
480,4815,78,2,1867691.0,0.2,2988306
481,4815,40,1,3482106.0,0.05,3308001
482,4815,58,4,883025.0,0.0,3532100
483,1952,51,3,4190173.0,0.0,12570519
484,1952,79,3,4701266.0,0.05,13398608
485,1106,70,4,4283058.0,0.0,17132232
486,1106,37,1,3993742.0,0.0,3993742
487,1106,30,2,1854576.0,0.0,3709152
488,1106,74,3,4678819.0,0.0,14036457
489,872,23,1,3175413.0,0.0,3175413
490,92,40,1,3482106.0,0.1,3133895
491,92,43,3,1109003.0,0.2,2661607
492,92,12,1,1277038.0,0.0,1277038
493,92,46,4,1749843.0,0.0,6999372
494,2602,50,3,2593579.0,0.0,7780737
495,2602,10,4,2025142.0,0.15,6885483
496,2602,43,1,1109003.0,0.05,1053553
497,2602,47,2,489921.0,0.0,979842
498,2602,67,3,1401568.0,0.0,4204704
499,1304,39,2,2545912.0,0.0,5091824
500,2745,9,2,2794929.0,0.0,5589858
501,2745,13,2,1241912.0,0.1,2235442
502,2745,14,1,3484558.0,0.0,3484558
503,2745,2,4,2675106.0,0.2,8560339
504,1569,17,4,4988725.0,0.1,17959410
505,1569,55,4,2711825.0,0.0,10847300
506,1569,38,2,762081.0,0.0,1524162
507,3647,55,1,2711825.0,0.0,2711825
508,3647,40,3,3482106.0,0.15,8879370
509,3647,4,3,3465256.0,0.0,10395768
510,3647,24,2,3406720.0,0.05,6472768
511,3647,8,3,1101633.0,0.1,2974409
512,3647,31,3,1218378.0,0.0,3655134
513,3647,78,1,1867691.0,0.05,1774306
514,4199,14,2,3484558.0,0.0,6969116
515,4199,10,3,2025142.0,0.1,5467883
516,4199,57,3,1150465.0,0.0,3451395
517,4199,9,2,2794929.0,0.05,5310365
518,4199,7,2,849772.0,0.2,1359635
519,4125,63,2,4827443.0,0.0,9654886
520,4125,54,2,1053267.0,0.0,2106534
521,3113,23,4,3175413.0,0.0,12701652
522,3113,33,2,2356800.0,0.05,4477920
523,3113,3,2,2429302.0,0.0,4858604
524,3113,78,4,1867691.0,0.0,7470764
525,3113,80,3,4868583.0,0.0,14605749
526,3113,57,4,1150465.0,0.0,4601860
527,2783,41,4,4293210.0,0.0,17172840
528,2783,48,3,4703211.0,0.05,13404151
529,2783,64,2,2795884.0,0.15,4753003
530,2783,60,4,2588013.0,0.0,10352052
531,2783,63,4,4827443.0,0.0,19309772
532,2783,59,1,4911020.0,0.05,4665469
533,2986,45,4,4049410.0,0.0,16197640
534,3618,6,4,1228186.0,0.0,4912744
535,3618,35,1,2000134.0,0.0,2000134
536,3618,39,3,2545912.0,0.0,7637736
537,3618,24,3,3406720.0,0.15,8687136
538,3618,31,4,1218378.0,0.05,4629836
539,3618,69,4,4234839.0,0.0,16939356
540,3618,29,1,413458.0,0.0,413458
541,4329,32,3,4017667.0,0.0,12053001
542,4329,48,1,4703211.0,0.0,4703211
543,4329,29,3,413458.0,0.0,1240374
544,4329,55,2,2711825.0,0.0,5423650
545,4329,41,4,4293210.0,0.0,17172840
546,4329,51,1,4190173.0,0.15,3561647
547,4329,63,4,4827443.0,0.0,19309772
548,4256,25,4,2659364.0,0.0,10637456
549,3630,22,2,1731906.0,0.0,3463812
550,3630,6,3,1228186.0,0.0,3684558
551,3630,56,4,3481964.0,0.0,13927856
552,3630,35,2,2000134.0,0.1,3600241
553,2162,21,2,174923.0,0.0,349846
554,2162,48,1,4703211.0,0.15,3997729
555,2162,5,4,1354368.0,0.0,5417472
556,2162,55,4,2711825.0,0.05,10304935
557,2162,64,2,2795884.0,0.0,5591768
558,2162,71,3,2028496.0,0.15,5172665
559,2162,43,2,1109003.0,0.1,1996205
560,2162,8,4,1101633.0,0.0,4406532
561,778,66,1,951648.0,0.0,951648
562,778,9,1,2794929.0,0.15,2375690
563,778,15,2,3564230.0,0.0,7128460
564,778,59,2,4911020.0,0.0,9822040
565,778,79,3,4701266.0,0.0,14103798
566,778,49,4,1993884.0,0.0,7975536
567,778,42,4,1636535.0,0.0,6546140
568,778,20,4,2061075.0,0.0,8244300
569,4809,31,4,1218378.0,0.15,4142485
570,4809,78,4,1867691.0,0.0,7470764
571,4809,11,2,333812.0,0.0,667624
572,4809,65,4,4414355.0,0.0,17657420
573,4809,60,4,2588013.0,0.1,9316847
574,4809,34,2,4917281.0,0.0,9834562
575,4809,8,2,1101633.0,0.0,2203266
576,4809,32,1,4017667.0,0.15,3415017
577,812,66,2,951648.0,0.15,1617802
578,812,67,4,1401568.0,0.0,5606272
579,812,56,2,3481964.0,0.0,6963928
580,812,19,4,4883309.0,0.0,19533236
581,812,80,4,4868583.0,0.1,17526899
582,812,75,3,3928850.0,0.0,11786550
583,812,71,3,2028496.0,0.1,5476939
584,812,50,2,2593579.0,0.0,5187158
585,280,74,3,4678819.0,0.0,14036457
586,280,53,4,3678728.0,0.2,11771930
587,280,52,1,3381694.0,0.0,3381694
588,280,59,4,4911020.0,0.0,19644080
589,743,38,3,762081.0,0.0,2286243
590,743,10,1,2025142.0,0.0,2025142
591,743,5,3,1354368.0,0.0,4063104
592,743,66,3,951648.0,0.0,2854944
593,743,56,3,3481964.0,0.0,10445892
594,743,8,4,1101633.0,0.0,4406532
595,743,6,4,1228186.0,0.0,4912744
596,3617,10,4,2025142.0,0.0,8100568
597,3617,20,1,2061075.0,0.15,1751914
598,3617,56,3,3481964.0,0.05,9923597
599,3617,46,4,1749843.0,0.0,6999372
600,3617,52,2,3381694.0,0.0,6763388
601,3617,80,2,4868583.0,0.05,9250308
602,3617,23,3,3175413.0,0.15,8097303
603,3617,2,1,2675106.0,0.15,2273840
604,3114,76,1,3348251.0,0.0,3348251
605,3114,78,4,1867691.0,0.15,6350149
606,3114,22,1,1731906.0,0.0,1731906
607,3114,75,1,3928850.0,0.0,3928850
608,3114,11,3,333812.0,0.0,1001436
609,3114,31,3,1218378.0,0.15,3106864
610,3114,26,4,2244438.0,0.0,8977752
611,2539,75,4,3928850.0,0.0,15715400
612,2539,19,3,4883309.0,0.05,13917431
613,2539,26,2,2244438.0,0.0,4488876
